Lead ID,Job Title,Language,Valid JT,Job Role,Marketing Audience,Function,Seniority,Confidence Score
1,Senior manager,en,Yes,Cyber Security Analyst,Security User,Security,Entry,0.9
5,"Manager, Accounting and Finance",en,Yes,Finance Manager,Accounting and Finance DM,Accounting and Finance,Manager,0.85
2,"Owner, Marketing/Sales",en,Yes,Sales Purchasing,Purchasing User,Purchasing,Entry,0.65
4,"Individual Contributor/Staff, Marketing/Sales",en,Yes,No suitable match found,,,,0.0
3,"Manager, Information Technology",en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.9
8,Professor,en,Yes,Professor,Education DM,Education,Senior,1.0
7,Supervisor de operaciones,es,Yes,No suitable match found,,,,0.0
9,"Manager, Marketing/Sales",en,Yes,Sales Manager,Sales DM,Sales,Manager,0.85
10,Aplication Engineer,en,Yes,Technology Development Engineer,Engineering User,Engineering,Entry,0.85
6,"Manager, Data/Business Intelligence",en,Yes,Manager Data Management,Data Professional DM,Data Professional,Manager,0.85
14,"Manager, Operations",en,Yes,Director of Operations,Operations DM,Operations,Director,0.85
15,Data Analyst,en,Yes,Data Analyst,Data Professional User,Data Professional,Entry,1.0
11,"Manager, Information Technology",en,Yes,Marketing Manager,Marketing DM,Marketing,Manager,0.85
12,"Director, Data/Business Intelligence",en,Yes,No suitable match found,,,,0.0
13,Field Marketing Manager,en,Yes,Marketing Manager,Marketing DM,Marketing,Manager,0.85
17,"Individual Contributor/Staff, Solutions/Systems Architect",en,Yes,System Architect,Architect DM,Architect,Senior,0.9
16,Creative Director,en,Yes,Content Director,Media and Communication DM,Media and Communication,Director,0.8
20,Head of Data Science,en,Yes,Director Data Science,Data Professional DM,Data Professional,Director,0.85
19,"CXO, Marketing",en,Yes,Chief Marketing Officer,Marketing CXO,Marketing,CXO,0.85
18,"Manager, Finance",en,Yes,Director of Financial Services,Accounting and Finance DM,Accounting and Finance,Director,0.85
21,Senior Packaging Researcher,en,Yes,Packaging Specialist,Supply and Logistics User,Supply and Logistics,Entry,0.85
22,Vice General Manager,en,Yes,Managing Director,Business Development CXO,Business Development,CXO,0.85
25,"Individual Contributor/Staff, Customer Service/Field Support",en,Yes,Customer Service Manager,Customer Service and Support DM,Customer Service and Support,Manager,0.75
23,"Manager, Infrastructure & Technology Management",en,Yes,Technology Manager,Information Technology DM,Information Technology,Manager,0.85
24,"Manager, Cybersecurity & Identity/Access Management",en,Yes,Cyber Security Manager,Security DM,Security,Manager,0.85
30,"Manager, Sales",en,Yes,Sales Manager,Sales DM,Sales,Manager,0.85
26,"Director, Engineering",en,Yes,Director of Engineering,Engineering DM,Engineering,Director,1.0
28,"Owner, Chief Officer",en,Yes,Owner,Business Development CXO,Business Development,Owner,0.85
27,"Individual Contributor/Staff, Chief Officer",en,Yes,Public Relations Manager,Media and Communication DM,Media and Communication,Manager,0.75
29,"CXO, Program and Project Management",en,Yes,Chief Operations Officer,Operations CXO,Operations,CXO,0.95
34,"Manager, Information Technology",en,Yes,No suitable match found,,,,0.0
35,"Vice President, Sales",en,Yes,Vice President of Sales,Sales DM,Sales,VP,0.95
31,IT Department Manager,en,Yes,Information Technology Manager,Information Technology DM,Information Technology,Manager,0.9
33,Engineering manager,en,Yes,Engineering Manager,Engineering DM,Engineering,Manager,0.75
32,"Manager, Information Technology",en,Yes,Information Technology Governance Manager,Information Technology DM,Information Technology,Manager,0.85
37,General Manager,en,Yes,Director of Operations,Operations DM,Operations,Director,0.85
38,Other,en,Yes,Sales Manager,Sales DM,Sales,Manager,0.85
40,"Associate Director, Global Secuirty",en,Yes,Director of Cyber Security,Security DM,Security,Director,0.85
39,"Director, Infrastructure & Technology Management",en,Yes,Director of Information Technology,Information Technology DM,Information Technology,Director,0.85
36,"Entry, Engineering",en,Yes,Information Technology Engineer,Engineering User,Engineering,Entry,0.85
44,"Individual Contributor/Staff, Operations/Project Management",en,Yes,Financial Analyst,Accounting and Finance User,Accounting and Finance,Entry,0.85
45,"Manager, Finance",en,Yes,Finance Manager,Accounting and Finance DM,Accounting and Finance,Manager,1.0
41,"Senior, Information Technology",en,Yes,Information Technology Support Specialist,Information Technology User,Information Technology,Entry,0.85
42,"Director, Information Technology",en,Yes,Chief Information Officer,Information Technology CXO,Information Technology,CXO,1.0
43,"Individual Contributor/Staff, Operations",en,Yes,Director of Operations,Operations DM,Operations,Director,0.75
47, -,en,No,,,,,
49,"Manager, Other",en,Yes,Planning Manager,Program and Project Management DM,Program and Project Management,Manager,0.85
46,"Individual Contributor/Staff, Information Technology",en,Yes,No suitable match found,,,,0.0
50,Corporate Planning,en,Yes,Chief Audit Executive,Accounting and Finance CXO,Accounting and Finance,CXO,0.85
48,"VP, Marketing",en,Yes,Vice President Marketing,Marketing DM,Marketing,VP,0.9
53,部長代理,ja,No,,,,,
55,課長クラス,ja,Yes,Sales Manager,Sales DM,Sales,Manager,0.75
54,管理職(課長以下),ja,Yes,Project Manager,Program and Project Management DM,Program and Project Management,Manager,1.0
52,課長クラス,ja,Yes,Planning Manager,Program and Project Management DM,Program and Project Management,Manager,0.85
51,"Individual Contributor/Staff, Information Technology Support/Manager",en,Yes,Artificial Intelligence Engineer,Data Professional User,Data Professional,Entry,0.85
